Freq	Int 	Phase
-5.20564e+14	3.62574e-17	2.90215
-5.20075e+14	2.94536e-17	2.46402
-5.19587e+14	1.70304e-17	-2.40896
-5.19099e+14	3.16416e-17	-2.61942
-5.18611e+14	3.00007e-17	-2.26404
-5.18122e+14	4.93169e-18	-3.11566
-5.17634e+14	1.23766e-17	2.74969
-5.17146e+14	4.63809e-17	-2.56116
-5.16657e+14	2.33687e-17	-2.85941
-5.16169e+14	4.09438e-17	2.72422
-5.15681e+14	6.61489e-18	-2.95158
-5.15193e+14	3.00632e-17	-2.91001
-5.14704e+14	1.3125e-17	-2.5979
-5.14216e+14	6.80807e-18	1.29755
-5.13728e+14	3.60169e-17	2.63825
-5.13239e+14	8.04901e-18	3.011
-5.12751e+14	8.80333e-18	2.40336
-5.12263e+14	1.92129e-17	2.49325
-5.11775e+14	3.49436e-17	-2.95154
-5.11286e+14	1.78059e-18	-2.24527
-5.10798e+14	7.81998e-18	-2.12542
-5.1031e+14	1.83677e-18	2.30829
-5.09821e+14	3.75587e-17	2.98654
-5.09333e+14	1.79201e-17	2.72603
-5.08845e+14	5.58356e-19	-0.793117
-5.08357e+14	5.9969e-18	-0.318843
-5.07868e+14	9.53157e-18	-2.49513
-5.0738e+14	3.81313e-17	-3.08066
-5.06892e+14	5.33196e-17	-2.85271
-5.06404e+14	5.1119e-18	3.10012
-5.05915e+14	7.70087e-18	-0.109304
-5.05427e+14	1.01229e-17	1.33327
-5.04939e+14	5.70995e-17	2.74041
-5.0445e+14	2.62245e-18	2.71221
-5.03962e+14	4.39696e-18	1.87457
-5.03474e+14	3.40879e-17	1.20834
-5.02986e+14	1.66738e-17	-1.33332
-5.02497e+14	3.74003e-18	-2.80775
-5.02009e+14	2.09647e-17	-0.931931
-5.01521e+14	8.1367e-17	-2.59864
-5.01032e+14	2.19734e-17	0.3104
-5.00544e+14	3.46591e-17	1.83545
-5.00056e+14	1.0056e-17	-1.81362
-4.99568e+14	2.19599e-18	-2.12786
-4.99079e+14	9.52006e-19	-0.0980729
-4.98591e+14	7.20858e-19	0.409439
-4.98103e+14	1.22984e-17	1.2083
-4.97614e+14	1.09223e-17	2.67515
-4.97126e+14	1.87764e-18	2.72396
-4.96638e+14	1.21287e-17	-1.45146
-4.9615e+14	2.44628e-17	-0.155504
-4.95661e+14	2.49825e-17	1.06778
-4.95173e+14	4.34709e-18	-1.4872
-4.94685e+14	2.97196e-17	-0.651364
-4.94196e+14	1.96185e-17	-1.29572
-4.93708e+14	3.95467e-17	-2.52743
-4.9322e+14	1.76407e-17	-0.566497
-4.92732e+14	1.50025e-17	-0.76521
-4.92243e+14	2.68828e-17	-0.328758
-4.91755e+14	2.48517e-17	1.93752
-4.91267e+14	1.87868e-17	3.07983
-4.90779e+14	6.57505e-18	-1.31972
-4.9029e+14	3.91172e-18	2.49408
-4.89802e+14	1.67758e-17	2.37929
-4.89314e+14	2.38389e-18	1.57807
-4.88825e+14	8.05817e-18	3.08006
-4.88337e+14	5.83576e-17	-2.8956
-4.87849e+14	5.5219e-17	2.103
-4.87361e+14	2.18968e-17	-2.51347
-4.86872e+14	1.94433e-18	-2.84069
-4.86384e+14	3.90774e-17	-2.64355
-4.85896e+14	4.01043e-17	2.78448
-4.85407e+14	3.33549e-17	2.98548
-4.84919e+14	1.52064e-18	2.59109
-4.84431e+14	1.78739e-17	2.58225
-4.83943e+14	1.06555e-17	-2.487
-4.83454e+14	9.57966e-18	1.62687
-4.82966e+14	4.30217e-18	-1.44048
-4.82478e+14	1.65515e-17	2.0777
-4.81989e+14	2.99951e-17	2.92125
-4.81501e+14	2.83517e-18	2.35099
-4.81013e+14	7.76162e-18	-2.22169
-4.80525e+14	2.91378e-17	-2.95176
-4.80036e+14	6.13351e-19	2.04842
